Age,AGB,Age round,Series,Age
-2.14E-03,519.6219,0.00E+00,1,-2.00E+00
1.0627,525.3607,1.00E+00,1,-1.00E+00
2.2326,477.6888,2.00E+00,1,0.00E+00
2.9756,389.3978,3.00E+00,1,1.00E+00
4.039,340.7835,4.00E+00,1,2.00E+00
5.1033,324.4126,5.00E+00,1,3.00E+00
6.4873,321.9237,6.00E+00,1,4.00E+00
8.0315,333.285,8.00E+00,1,6.00E+00
9.0432,342.6983,9.00E+00,1,7.00E+00
10.1084,360.4132,1.00E+01,1,8.00E+00
11.0668,369.8157,1.10E+01,1,9.00E+00
12.0785,377.3866,1.20E+01,1,1.00E+01
13.1432,374.8342,1.30E+01,1,1.10E+01
14.1015,378.7095,1.40E+01,1,1.20E+01
15.1131,381.674,1.50E+01,1,1.30E+01
16.0715,390.1554,1.60E+01,1,1.40E+01
17.0301,404.1642,1.70E+01,1,1.50E+01
18.042,418.1837,1.80E+01,1,1.60E+01
19.0537,428.5181,1.90E+01,1,1.70E+01
20.0123,440.6844,2.00E+01,1,1.80E+01
21.0773,453.7932,2.10E+01,1,1.90E+01
22.0359,465.0383,2.20E+01,1,2.00E+01
23.154,471.709,2.30E+01,1,2.10E+01
24.2186,466.3929,2.40E+01,1,2.20E+01
25.1236,467.4938,2.50E+01,1,2.30E+01
26.0287,473.201,2.60E+01,1,2.40E+01
27.0937,482.6247,2.70E+01,1,2.50E+01
28.0521,486.5,2.80E+01,1,2.60E+01
29.0103,488.5327,2.90E+01,1,2.70E+01
0.0498,469.8855,0.00E+00,2,-2.00E+00
2.2319,450.9727,2.00E+00,2,0.00E+00
2.7093,386.5812,3.00E+00,2,1.00E+00
4.0923,344.479,4.00E+00,2,2.00E+00
5.0507,348.3542,5.00E+00,2,3.00E+00
6.5947,355.1094,7.00E+00,2,5.00E+00
7.8723,352.5994,8.00E+00,2,6.00E+00
8.8839,359.2489,9.00E+00,2,7.00E+00
10.1091,387.1291,1.00E+01,2,8.00E+00
10.9077,392.8151,1.10E+01,2,9.00E+00
11.9726,398.5539,1.20E+01,2,1.00E+01
13.2502,396.9651,1.30E+01,2,1.10E+01
14.102,396.213,1.40E+01,2,1.20E+01
15.1663,386.2908,1.50E+01,2,1.30E+01
16.1246,384.6385,1.60E+01,2,1.40E+01
17.0829,387.5925,1.70E+01,2,1.50E+01
18.0944,388.7146,1.80E+01,2,1.60E+01
18.8931,394.4005,1.90E+01,2,1.70E+01
19.5853,400.9866,2.00E+01,2,1.80E+01
20.597,409.4786,2.10E+01,2,1.90E+01
21.3958,418.8495,2.10E+01,2,1.90E+01
22.4073,419.0504,2.20E+01,2,2.00E+01
23.3655,417.3981,2.30E+01,2,2.10E+01
24.3234,405.6122,2.40E+01,2,2.20E+01
25.388,401.2175,2.50E+01,2,2.30E+01
26.453,410.6412,2.60E+01,2,2.40E+01
27.1984,416.3167,2.70E+01,2,2.50E+01
28.1568,421.1131,2.80E+01,2,2.60E+01
28.9554,424.0354,2.90E+01,2,2.70E+01
-4.80E-03,419.6674,0.00E+00,3,-2.00E+00
2.2042,410.8936,2.00E+00,3,0.00E+00
3.3455,285.8323,3.00E+00,3,1.00E+00
4.0908,288.2833,4.00E+00,3,2.00E+00
5.0758,291.2427,5.00E+00,3,3.00E+00
6.5131,292.4493,7.00E+00,3,5.00E+00
8.0836,296.446,8.00E+00,3,6.00E+00
9.0955,306.7805,9.00E+00,3,7.00E+00
9.362,320.1913,9.00E+00,3,7.00E+00
10.4538,338.8328,1.00E+01,3,8.00E+00
11.2791,343.6028,1.10E+01,3,9.00E+00
12.2641,348.4045,1.20E+01,3,1.00E+01
13.2224,353.6616,1.30E+01,3,1.10E+01
14.154,352.0041,1.40E+01,3,1.20E+01
15.2722,359.1353,1.50E+01,3,1.30E+01
16.2041,369.9146,1.60E+01,3,1.40E+01
17.1358,375.1663,1.70E+01,3,1.50E+01
18.0409,377.6491,1.80E+01,3,1.60E+01
18.893,389.3336,1.90E+01,3,1.70E+01
19.5586,395.4539,2.00E+01,3,1.80E+01
20.5705,411.7764,2.10E+01,3,1.90E+01
21.316,419.7549,2.10E+01,3,1.90E+01
22.4076,429.6446,2.20E+01,3,2.00E+01
23.4724,434.0016,2.30E+01,3,2.10E+01
24.4039,430.041,2.40E+01,3,2.20E+01
24.4838,430.9781,2.40E+01,3,2.20E+01
26.4267,423.9939,2.60E+01,3,2.40E+01
27.1721,426.9056,2.70E+01,3,2.50E+01
28.1304,431.2414,2.80E+01,3,2.60E+01
28.9291,434.6242,2.90E+01,3,2.70E+01
0.0216,411.8422,0.00E+00,4,-2.00E+00
1.1654,383.511,1.00E+00,4,-1.00E+00
2.3631,380.5245,2.00E+00,4,0.00E+00
3.3452,274.7774,3.00E+00,4,1.00E+00
4.2236,277.7156,4.00E+00,4,2.00E+00
5.0756,284.794,5.00E+00,4,3.00E+00
6.5133,299.8192,7.00E+00,4,5.00E+00
8.0308,308.8721,8.00E+00,4,6.00E+00
9.0159,319.2014,9.00E+00,4,7.00E+00
9.6018,329.4513,1.00E+01,4,8.00E+00
9.7614,326.7193,1.00E+01,4,8.00E+00
10.4538,336.9903,1.00E+01,4,8.00E+00
11.2792,347.2878,1.10E+01,4,9.00E+00
12.2642,352.5501,1.20E+01,4,1.00E+01
13.2226,360.1103,1.30E+01,4,1.10E+01
14.1544,367.2045,1.40E+01,4,1.20E+01
15.1927,372.9381,1.50E+01,4,1.30E+01
15.2727,380.7845,1.50E+01,4,1.30E+01
16.1245,380.9536,1.60E+01,4,1.40E+01
17.1097,393.1252,1.70E+01,4,1.50E+01
18.0683,407.5947,1.80E+01,4,1.60E+01
19.0268,416.9973,1.90E+01,4,1.70E+01
