"Study","Site","Vol.x","Vol2","Trees","Trees2","Region.x"
"Abdulhadi et al 1981","Abdulhadi et al 1981-1",NA,34.339268731516,11,11,"Asia/Africa"
"Abebe and Holm 2003","Abebe and Holm 2003-1",46,46,NA,4.86638200237524,"Asia/Africa"
"Bertault and Sist 1997","Bertault and Sist 1997-1",96.8,96.8,10.7,10.7,"Asia/Africa"
"Bertault and Sist 1997","Bertault and Sist 1997-2",56.5,56.5,7,7,"Asia/Africa"
"Bertault and Sist 1997","Bertault and Sist 1997-3",107.2,107.2,10.1,10.1,"Asia/Africa"
"Chapman et al 2000","Chapman et al 2000-1",21.3,21.3,7.4,7.4,"Asia/Africa"
"Chapman et al 2000","Chapman et al 2000-2",14,14,5.1,5.1,"Asia/Africa"
"Feldpausch et al 2005","Feldpausch et al 2005-1",6.2,6.2,1.1,1.1,"Americas"
"Forshed et al 2006","Forshed et al 2006-1",NA,38.5216442649691,13,13,"Asia/Africa"
"Forshed et al 2006","Forshed et al 2006-2",NA,31.3227600333949,9.4,9.4,"Asia/Africa"
"Forshed et al 2006","Forshed et al 2006-3",NA,38.5216442649691,13,13,"Asia/Africa"
"Forshed et al 2006","Forshed et al 2006-4",NA,31.3227600333949,9.4,9.4,"Asia/Africa"
"Guariguata et al 2009","Guariguata et al 2009-1",4,4,0.5,0.5,"Americas"
"Guariguata et al 2009","Guariguata et al 2009-2",4.5,4.5,0.61,0.61,"Americas"
"Guariguata et al 2009","Guariguata et al 2009-3",5,5,0.66,0.66,"Americas"
"Iskander et al 2006","Iskander et al 2006-1",NA,19.3295691086722,1,1,"Asia/Africa"
"Iskander et al 2006","Iskander et al 2006-2",NA,22.9663951997292,4,4,"Asia/Africa"
"Iskander et al 2006","Iskander et al 2006-3",NA,21.6838276557713,3,3,"Asia/Africa"
"Iskander et al 2006","Iskander et al 2006-4",NA,22.9663951997292,4,4,"Asia/Africa"
"Jackson et al 2002","Jackson et al 2002-1",12.1,12.1,4.35,4.35,"Americas"
"Johns 1988","Johns 1988-1",NA,52.2367702647511,18.3,18.3,"Asia/Africa"
"Johns et al 1996","Johns et al 1996-1",30,30,5.6,5.6,"Americas"
