Study,Site,Age,Method,Vol,MU,VU,SSU,ML,VL,SSL,VarT,ID,Allometry,Region,N_Logged,Lat,Long,Type
Gourlet-Fleury et al 2013,Gourlet-Fleury et al 2013-1,0,Conventional,66,386.4253333,68.07363939,12,284.7743333,36.79663974,12,SD,14,Allometric - no height,Africa,1,3.9,17.93,Aboveground biomass
Medjibe et al 2011,Medjibe et al 2011-1,0,RIL,8.11,420.4,92.95,10,386.22,109.0794186,10,SD,20,Allometric - no height,Africa,1,0.333333,10.333333,Aboveground biomass
Huang et al 2003,Huang et al 2003-1,10,Conventional,-9999,Species richness,15.6,1.2,139,13.8,0.7,139,SE,Plant,Africa,Africa,-4.757098,38.489742,Species richness
Sekercioglu et al 2002,Sekercioglu et al 2002-1,40,Conventional,-9999,Species richness,95.4943,11.02045918,6,96.44995,3.781567544,12,SE,Birds,Africa,Africa,0.683333,30.533333,Species richness
Brown et al 2004,Brown et al 2004-1,50,Conventional,-9999,Species richness,52.7952,-9999,3,33.0872,-9999,3,SD,Plant,Africa,Africa,-21.033333,47.3,Species richness
d'Oliveira et al 2010,d'Oliveira et al 2010-1,0,Conventional,12.5,235.6,13.6,30,219.5,16.8,10,SE,11,Allometric - no height,Americas,1,-9.216667,-68.016667,Aboveground biomass
Gerwing et al 2002,Gerwing et al 2002-1,5,Conventional,35.3,258,30,3,198,18,3,SD,12,Allometric - no height,Americas,1,-3,-50,Aboveground biomass
Chambers et al 2005,Chambers et al 2005-1,4,Conventional,-9999,346.8,28.21329474,3,279.9333333,29.85034897,3,SD,8,Allometric - height,Americas,1,-2.5,-60,Aboveground biomass
Chambers et al 2005,Chambers et al 2005-3,4,Conventional,-9999,343.3,32.22002483,3,249.7333333,15.29749435,3,SD,9,Allometric - height,Americas,1,-2.5,-60,Aboveground biomass
Chambers et al 2005,Chambers et al 2005-2,4,Conventional,-9999,330.8333333,30.91865672,3,261.4,28.72925338,3,SD,10,Allometric - height,Americas,1,-2.5,-60,Aboveground biomass
Gerwing et al 2002,Gerwing et al 2002-2,5,Conventional,52,258,30,3,148,10,3,SD,13,Allometric - no height,Americas,1,-3,-50,Aboveground biomass
Mazzei et al 2010,Mazzei et al 2010-1,0,RIL,21,409.8,64.9,17,315.3647059,44.90907399,17,SD,19,Allometric - no height,Americas,1,-3.414725,-47.076416,Aboveground biomass
Lindner et al 2011,Lindner et al 2011-1,30,Conventional,-9999,313,48,5,204,38,5,SE,18,Allometric - height,Americas,1,-22.431389,-42.705556,Aboveground biomass
Carreño Rocabado et al 2012,Carreño Rocabado et al 2012-1,0,Conventional,9.4,Species richness,12.3,1.85,9,1.3,1.765715768,23,CI,Plant,Americas,Americas,-15.78333333,-62.91666667,Species richness
Villela et al 2006,Villela et al 2006-1,5,Conventional,-9999,Species richness,40,6.2,8,45,4.5,8,SE,Plant,Americas,Americas,-21.4,-41.066667,Species richness
Aubad et al 2008,Aubad et al 2008-1,-9999,Conventional,-9999,Species richness,86,2.25,25,51.75,2.75,25,SE,Plant,Americas,Americas,5.785432,-75.673828,Species richness
Baraloto et al 2012,Baraloto et al 2012-1,20,Conventional,55,Species richness,122,12,6,123,12,6,SD,Plant,Americas,Americas,5.3,-52.91666667,Species richness
Thiollay et al 1997,Thiollay et al 1997-1,5,Conventional,-9999,Species richness,4.57,3.01,328,3.245,4.69285,609,SD,Birds,Americas,Americas,4.524404,-52.378113,Species richness
Whitman et al 1998,Whitman et al 1998-1,-9999,Conventional,-9999,Species richness,29.1,5.7,12,25.3,5.7,12,SE,Birds,Americas,Americas,17.601157,-88.685471,Species richness
