Study,Method,Minimum DBH of trees cut (cm),Illegal/Legal,Extaction methods,Lianas cut prior to logging,Planned road building & skidder routes,Planned extraction,Directional felling,Lighter machinery,Training,Supervision,Silvicultural treatments,Exclusion of steep slopes
Abdulhadi et al 1981,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abebe and Holm 2003,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baraloto et al 2012,Conventional,50,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berry et al 2008,Conventional,60,Legal,High lead cable & tractor,NA,,NA,NA,NA,NA,NA,NA,NA
Berry et al 2010,Conventional,60,Legal,High lead cable & tractor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berry et al 2010,Conventional,60,Legal,High lead cable & tractor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bertault and Sist 1997,RIL,50,NA,NA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes
Bertault and Sist 1997,RIL,60,NA,NA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes
Bertault and Sist 1997,Conventional,60,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
Bryan et al 2010,RIL,50,Legal,Bulldozer,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes
Bryan et al 2010,RIL,50,Legal,Bulldozer,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes
Burghouts e al 1994,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cannon et al 1998,Conventional,50,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cannon et al 1998,Conventional,50,Legal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carreño Rocabado et al 2012,RIL,NA,Legal,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Carreño Rocabado et al 2012,Conventional,NA,Legal,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
