"","Site","Study","Age","Method","M_UL","V_UL","SS_UL","M_L","V_L","SS_L","VarT","Rare","Region","Vol","Trees","Plot_size","Minimum_DBH","Liana_cutting","Illegal_legal","Lat","Long","Tree_corr","Region2","Pred","Vol2"
"1","Adekunle et al 2010a","Adekunle et al 2010",0,"Conventional",46,NA,8,24,NA,8,"","Not rarefied","Africa",107,NA,0.04,48,NA,"Legal",7,5,NA,"Africa/Asia",NA,107
"2","Baraloto et al 2012","Baraloto et al 2012",20,"Conventional",122,12,6,123,12,6,"SD","Rarefied - Area","Americas",55,7,1.56,50,NA,"Legal",5,-52,0.314229671333488,"Americas",37.4514069670631,55
"3","Berry et al 2008","Berry et al 2008",18,"Conventional",407.4238,10.38382653,15,434.1605,11.48341837,15,"SE","Rarefied - Individuals","Asia",92.4,17.63941706,1,60,NA,"Legal",5,117,3.27009134602776,"Africa/Asia",168.447239485282,92.4
"4","Burghouts e al 1994a","Burghouts e al 1994",12,"Conventional",42.5,1.8,30,39.2,1.5,30,"SE","Not rarefied","Asia",100,NA,0.0314,NA,NA,NA,5,117,NA,"Africa/Asia",NA,100
"5","Cannon et al 1998","Cannon et al 1998",1,"Conventional",18,-9999,12,12.4,-9999,12,"SD","Not rarefied","Asia",52,10.4,0.2,50,NA,"Legal",-1,110,1.25882368783692,"Africa/Asia",100.499823886529,52
"6","Cannon et al 1998","Cannon et al 1998",8,"Conventional",18,-9999,12,13.7,-9999,12,"SD","Not rarefied","Asia",42.5,8.5,0.2,50,NA,"Legal",-1,110,0.730962325673237,"Africa/Asia",82.6668839456943,42.5
"7","Carreño Rocabado et al 2012","Carreño Rocabado et al 2012",0,"RIL",123,1.85,9,132,1.78,12,"CI","Not rarefied","Americas",10.4,2.3,1,NA,"Yes","Legal",-15,-63,-0.991532645597724,"Americas",13.2851861484833,10.4
"8","Carreño Rocabado et al 2012","Carreño Rocabado et al 2012",0,"Conventional",123,1.85,9,130,1.75,23,"CI","Not rarefied","Americas",9.4,2.1,1,NA,"Yes","Legal",-15,-63,-1.04709699950969,"Americas",12.256836326416,9.4
"9","Carreño Rocabado et al 2012","Carreño Rocabado et al 2012",0,"Conventional",123,1.85,9,128,1.78,23,"CI","Not rarefied","Americas",14.4,4,1,NA,"Yes","Legal",-15,-63,-0.519235637346009,"Americas",22.0261596360547,14.4
"10","Foody et al 2003","Foody et al 2003",10,"Conventional",21.55415,-9999,10,17.9,-9999,30,"SD","Rarefied - Individuals","Asia",118,NA,0.05,60,"No","Legal",5,117,NA,"Africa/Asia",NA,118
