Study,Vol2,Trees2,Region
Abdulhadi et al 1981,,11,Asia
Abebe and Holm 2003,46,,Africa
Baraloto et al 2012,55,7,Americas
Bertault and Sist 1997,96.8,10.7,Asia
Bertault and Sist 1997,56.5,7,Asia
Bertault and Sist 1997,107.2,10.1,Asia
Bryan et al 2010,10.7,,Asia
Bryan et al 2010,10.7,,Asia
Carreño Rocabado et al 2012,10.4,2.3,Americas
Carreño Rocabado et al 2012,9.4,2.1,Americas
Carreño Rocabado et al 2012,14.4,4,Americas
d'Oliveira et al 2012,6.9,,Americas
Feldpausch et al 2005,6.2,1.85,Americas
Foody et al 2003,118,NA,Asia
Forshed et al 2006,,13,Asia
Forshed et al 2006,,9.4,Asia
Forshed et al 2006,,13,Asia
Forshed et al 2006,,9.4,Asia
Gatti et al 2015,,20,Africa
Gatti et al 2015,,20,Africa
Gerwing et al 2002,35.3,5.7,Americas
Gerwing et al 2002,69,10,Americas
Gerwing et al 2002,35.3,5.7,Americas
Gerwing et al 2002,52,10,Americas
Gourlet-Fleury et al 2013,66,5.5,Africa
Gourlet-Fleury et al 2013,81.16,4.5,Africa
Gourlet-Fleury et al 2013,122.57,4.5,Africa
Imai et al 2012,13.74,2.36,Asia
Imai et al 2013,13.74,2.36,Asia
Iskander et al 2006,,1,Asia
Iskander et al 2006,,4,Asia
Iskander et al 2006,,3,Asia
Iskander et al 2006,,4,Asia
Jackson et al 2002,12.1,4.35,Americas
Johns 1988,,18.3,Asia
Johns et al 1996,30,5.6,Americas
Johns et al 1996,30,5.6,Americas
Johns et al 1996,37,4.5,Americas
Jonkers 2000,,1.424242424,Africa
Jonkers 2000,,1.393939394,Africa
Kao and Iidu 2006,22.2,3,Asia
Mazzei et al 2010,21,8.4,Americas
Medjibe et al 2011,8.11,0.82,Africa
Medjibe et al 2011,8.11,0.82,Africa
Medjibe et al 2013,5.7,0.39,Africa
Medjibe et al 2013,5.66,0.39,Africa
Medjibe et al 2013,11.4,0.76,Africa
Medjibe et al 2013,11.38,0.76,Africa
Medjibe et al 2013,5.7,0.39,Africa
Medjibe et al 2013,11.4,0.76,Africa
Miller et al 2011,,3.6,Americas
Nicholson et al 1979,37.9,4.7,Asia
Nicholson et al 1979,,18.3,Asia
Parren et al 2001,13,1,Africa
Parren et al 2001,13,1,Africa
Pfeifer et al 2014,179,NA,Asia
Pfeifer et al 2014,150,NA,Asia
Pfeifer et al 2014,150,NA,Asia
Pfeifer et al 2014,150,NA,Asia
Pfeifer et al 2014,179,NA,Asia
Pfeifer et al 2014,150,NA,Asia
Pfeifer et al 2014,179,NA,Asia
Pfeifer et al 2014,179,NA,Asia
Pfeifer et al 2014,179,NA,Asia
Pfeifer et al 2014,179,NA,Asia
Pinard and Putz 1996,153.5,,Asia
Pinard and Putz 1996,103.75,,Asia
Rockwell et al 2014,,2,Americas
Saner et al 2012,117.38,,Asia
Sist and Nguyen 2002,,5.7,Asia
Sist and Nguyen 2002,,8.3,Asia
Sist and Nguyen 2002,,13.9,Asia
Sist et al 2003,45,5,Asia
Sist et al 2003,54,6,Asia
Sist et al 2003,45,5,Asia
Sist et al 2003,45,5,Asia
Sist et al 2003,54,6,Asia
Sist et al 2003,63,7,Asia
Sist et al 2003,99,11,Asia
Sist et al 2003,117,13,Asia
Sist et al 2003,32.1,3,Asia
Sist et al 2003,42.8,4,Asia
Sist et al 2003,74.9,7,Asia
Sist et al 2003,74.9,7,Asia
Sist et al 2003,96.3,9,Asia
Sist et al 2003,107,10,Asia
Sist et al 2003,107,10,Asia
Sist et al 2003,107,10,Asia
Sist et al 2007,20.4,6,Americas
Sist et al 2007,10.2,3,Americas
Sist et al 2007,34,10,Americas
Sist et al 2007,20.4,6,Americas
Sist et al 2007,23.8,7,Americas
Sist et al 2007,20.4,6,Americas
Sist et al 2007,27.2,8,Americas
Sist et al 2007,6.8,2,Americas
Sist et al 2007,20.4,6,Americas
Sist et al 2007,30.6,9,Americas
Sist et al 2007,13.6,4,Americas
Sist et al 2007,20.4,6,Americas
Sist et al 2007,17,5,Americas
Sist et al 2007,30.6,9,Americas
Sist et al 2007,20.4,6,Americas
Sist et al 2007,23.8,7,Americas
Sist et al 2007,37.4,11,Americas
Sist et al 2007,6.8,2,Americas
Sist et al 2012,,21,Americas
Sist et al 2012,,10,Americas
Uhl et al 1991,16,2,Americas
van de Hout 1999,16,4,Americas
van de Hout 1999,25.86666667,8,Americas
van de Hout 1999,46.93333333,16,Americas
van de Hout 1999,50.06666667,16,Americas
van de Hout 1999,25.06666667,8,Americas
Verissimo et al 1992,18,3,Americas
Verissimo et al 1992,35,7,Americas
Verissimo et al 1992,62,9,Americas
Villela et al 2006,,37,Americas
Webb et al 1997,14.62473968,2.0117,Americas
Webb et al 1997,28.91579365,3.9775,Americas
Webb et al 1997,29.06991429,3.9987,Americas
Webb et al 1997,36.30049841,4.9933,Americas
Webb et al 1997,43.21993333,5.9451,Americas
Webb et al 1997,57.64911429,7.9299,Americas
Webb et al 1997,65.3246127,8.9857,Americas
Webb et al 1998,49.2,6,Americas
Webb et al 1998,49.2,6,Americas
White 2009,,2,Africa
White 2009,,2,Africa
Whitman et al 1997,,0.5,Americas
Whitmore et al 1989,,,Americas
