Study,Site,Volume_pred,Volume,Region,Method
Alongi et al 2008,Berry et al 2010a,97.2,97.2,Asia,Conventional
Alongi et al 2008,Berry et al 2010b,97.2,97.2,Asia,Conventional
Alongi et al 2008,Bryan et al 2010a,10.7,10.7,Asia,RIL
Berry et al 2010,Bryan et al 2010b,10.7,10.7,Asia,RIL
Berry et al 2010,Chambers et al 2005a,NA,,Americas,Conventional
Bryan et al 2010,Chambers et al 2005b,NA,,Americas,Conventional
Bryan et al 2010,Chambers et al 2005c,NA,,Americas,Conventional
Chambers et al 2005,d'Oliveira et al 2012a,6.9,6.9,Americas,Conventional
Chambers et al 2005,Gerwing et al 2002a,35.3,35.3,Americas,Conventional
Chambers et al 2005,Gerwing et al 2002b,69,69,Americas,Conventional
d'Oliveira et al 2012,Gourlet-Fleury et al 2013,66,66,Africa,Conventional
Gerwing et al 2002,Imai et al 2013a,13.74,13.74,Asia,RIL
Gerwing et al 2002,Imai et al 2013b,NA,,Asia,Conventional
Gourlet-Fleury et al 2013,Kronseder et al 2012a,NA,,Asia,Conventional
Imai et al 2013,Kronseder et al 2012b,NA,,Asia,Conventional
Imai et al 2013,Lasco et al 2006a,NA,,Asia,Conventional
Kronseder et al 2012,Lasco et al 2006b,NA,,Asia,Conventional
Kronseder et al 2012,Lasco et al 2006c,NA,,Asia,Conventional
Lasco et al 2006,Lasco et al 2006d,NA,,Asia,Conventional
Lasco et al 2006,Lasco et al 2006e,NA,,Asia,Conventional
Lasco et al 2006,Lindner et al 2011,NA,,Americas,Conventional
Lasco et al 2006,Mazzei et al 2010,21,21,Americas,RIL
Lasco et al 2006,Medjibe et al 2011,8.11,8.11,Africa,RIL
Lindner et al 2011,Medjibe et al 2013a,5.7,5.66,Africa,RIL
Mazzei et al 2010,Medjibe et al 2013a,5.66,5.66,Africa,RIL
Medjibe et al 2011,Medjibe et al 2013b,11.4,11.38,Africa,Conventional
Medjibe et al 2013,Medjibe et al 2013b,11.38,11.38,Africa,Conventional
Medjibe et al 2013,Pfeifer et al 2013a,179,179,Asia,Conventional
Medjibe et al 2013,Pfeifer et al 2013b,150,150,Asia,Conventional
Medjibe et al 2013,Pfeifer et al 2013c,150,150,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013d,150,150,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013e,179,179,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013f,150,150,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013g,179,179,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013h,179,179,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013i,179,179,Asia,Conventional
Pfeifer et al 2014,Pfeifer et al 2013j,179,179,Asia,Conventional
Pfeifer et al 2014,Pinard et al 1996a,154.482125,154.482125,Asia,Conventional
Pfeifer et al 2014,Pinard et al 1996b,103.5835,103.5835,Asia,RIL
Pfeifer et al 2014,Rockwell et al 2014,10,10,Americas,Conventional
Pinard et al 1996,Saner et al 2012,117.38,117.38,Asia,Conventional
Pinard et al 1996,Sist et al 2012a,NA,,Americas,Conventional
Rockwell et al 2014,Sist et al 2012b,38.8265924215,,Americas,Conventional
Saner et al 2012,Sist et al 2014a,30,30,Americas,RIL
Sist et al 2012,Tangki et al 2008,101.2,101.2,Asia,Conventional
Sist et al 2012,Adekunle et al 2010a,,,Africa,Conventional
Sist et al 2014,Asase et al 2014a,,,Africa,Conventional
Tangki et al 2008,Aubad et al 2008,,,Americas,Conventional
Baraloto et al 2012,Baraloto et al 2012,55,55,Americas,Conventional
Berry et al 2008,Berry et al 2008,92.4,92.4,Asia,Conventional
Brown et al 2004,Brown et al 2004,,,Africa,Conventional
Brown et al 2004,Brown et al 2004,,,Africa,Conventional
Burghouts e al 1994,Burghouts e al 1994a,100,100,Asia,Conventional
Cannon et al 1998,Cannon et al 1998,,,Asia,Conventional
Cannon et al 1998,Cannon et al 1998,,,Asia,Conventional
Carreño Rocabado et al 2012,Carreño Rocabado et al 2012,9.4,9.4,Americas,Conventional
Foody et al 2003,Foody et al 2003,118,118,Asia,Conventional
Gerwing et al 2002,Gerwing et al 2002a,35.3,35.3,Americas,Conventional
Gerwing et al 2002,Gerwing et al 2002b,69,69,Americas,Conventional
Gourlet-Fleury et al 2013,Gourlet-Fleury et al 2013a,76.14,76.14,Africa,Conventional
Gradstein et al 2007,Gradstein et al 2007,,,Asia,Conventional
Huang et al 2003,Huang et al 2003,,,Africa,Conventional
Imai et al 2012,Imai et al 2012a,13.74,13.74,Asia,RIL
Imai et al 2012,Imai et al 2012b,,,Asia,Conventional
Medjibe et al 2013,Medjibe et al 2013a,5.7,5.7,Africa,RIL
Medjibe et al 2013,Medjibe et al 2013b,11.38,11.38,Africa,Conventional
Saiful and Latiff 2014,Saiful and Latiff 2014a,73.7,73.7,Asia,Conventional
Villela et al 2006,Villela et al 2006,90,90,Americas,Conventional
Webb et al 1998,Webb et al 1998,49.2,49.2,Americas,Conventional
Webb et al 1998,Webb et al 1998,49.2,49.2,Americas,Conventional
Abdulhadi et al 1981,Abdulhadi et al 1981-1,112.66591327,,Asia,Conventional
Abebe and Holm 2003,Abebe and Holm 2003-1,46,,Africa,Conventional
Bertault and Sist 1997,Bertault and Sist 1997-1,96.8,,Asia,RIL
Bertault and Sist 1997,Bertault and Sist 1997-2,56.5,,Asia,RIL
Bertault and Sist 1997,Bertault and Sist 1997-3,107.2,,Asia,Conventional
Chapman et al 2000,Chapman et al 2000-1,21.3,,Africa,Conventional
Chapman et al 2000,Chapman et al 2000-2,14,,Africa,Conventional
Feldpausch et al 2005,Feldpausch et al 2005-1,6.2,,Americas,RIL
Forshed et al 2006,Forshed et al 2006-1,137.487194869,,Asia,Conventional
Forshed et al 2006,Forshed et al 2006-2,92.8088879907,,Asia,RIL
Forshed et al 2006,Forshed et al 2006-3,137.487194869,,Asia,Conventional
Forshed et al 2006,Forshed et al 2006-4,92.8088879907,,Asia,RIL
Iskander et al 2006,Iskander et al 2006-1,6,,Asia,Conventional
Iskander et al 2006,Iskander et al 2006-2,25.7914276733,,Asia,Conventional
Iskander et al 2006,Iskander et al 2006-3,13.3807868737,,Asia,Conventional
Iskander et al 2006,Iskander et al 2006-4,25.7914276733,,Asia,Conventional
Jackson et al 2002,Jackson et al 2002-1,12.1,,Americas,Conventional
