,ID,Study,Site_ID,Method,Vol2,Tree_ex,Prop_dam,Region,Plot,Replicates
1,1,Abdulhadi et al 1981,Abdulhadi et al 1981-1,Conventional,106.13,11.00,0.24,Asia,NA,NA
2,2,Abebe and Holm 2003,Abebe and Holm 2003-1,Conventional,46.00,NA,0.10,Africa,1,NA
3,3,Bertault and Sist 1997,Bertault and Sist 1997-1,RIL,96.80,10.70,0.37,Asia,4,NA
4,4,Bertault and Sist 1997,Bertault and Sist 1997-2,RIL,56.50,7.00,0.31,Asia,4,NA
5,5,Bertault and Sist 1997,Bertault and Sist 1997-3,Conventional,107.20,10.10,0.48,Asia,4,NA
6,8,Feldpausch et al 2005,Feldpausch et al 2005-1,RIL,6.20,1.85,0.12,Americas,NA,NA
7,9,Forshed et al 2006,Forshed et al 2006-1,Conventional,NA,13,0.406812339,Asia,NA,4
8,10,Forshed et al 2006,Forshed et al 2006-2,RIL,91.11,9.40,0.33,Asia,NA,4
9,11,Forshed et al 2006,Forshed et al 2006-3,Conventional,NA,13,0.370677159,Asia,NA,4
10,12,Forshed et al 2006,Forshed et al 2006-4,RIL,91.11,9.40,0.36,Asia,NA,4
11,13,Iskander et al 2006,Iskander et al 2006-1,Conventional,12.27369997,1,NA,Asia,20,6
12,14,Iskander et al 2006,Iskander et al 2006-2,Conventional,40.43097356,4,NA,Asia,20,3
13,15,Iskander et al 2006,Iskander et al 2006-3,Conventional,31.0452157,3,NA,Asia,20,6
14,16,Iskander et al 2006,Iskander et al 2006-4,Conventional,40.43097356,4,NA,Asia,20,15
15,17,Jackson et al 2002,Jackson et al 2002-1,RIL,12.10,4.35,0.45,Americas,NA,NA
16,18,Johns 1988,Johns 1988-1,Conventional,NA,18.3,0.57,Asia,NA,NA
17,19,Johns et al 1996,Johns et al 1996-1,Conventional,30,5.6,NA,Americas,16.8,1
18,20,Johns et al 1996,Johns et al 1996-3,Conventional,30,5.6,NA,Americas,16.5,1
19,21,Johns et al 1996,Johns et al 1996-3,Conventional,37,4.5,NA,Americas,25,1
20,22,Jonkers 2000,Jonkers 2000-1,Conventional,16.25553664,1.424242424,NA,Africa,33,1
21,23,Jonkers 2000,Jonkers 2000-2,Conventional,15.97,1.39,0.06,Africa,33,1
22,24,Kao and Iidu 2006,Kao and Iidu 2006-1,Conventional,22.20,3.00,0.13,Asia,0.12,80
23,25,Medjibe et al 2011,Medjibe et al 2011-1,RIL,8.11,0.82,0.51,Africa,1,10
24,26,Medjibe et al 2013,Medjibe et al 2013-1,RIL,5.70,0.39,0.01,Africa,1,20
25,27,Medjibe et al 2013,Medjibe et al 2013-2,Conventional,11.40,0.76,0.04,Africa,1,12
26,28,Miller et al 2011,Miller et al 2011-1,RIL,19.96945999,3.6,NA,Americas,1,18
27,29,Nicholson et al 1979,Nicholson et al 1979-1,Conventional,37.90,4.70,0.44,Asia,NA,NA
28,30,Nicholson et al 1979,Nicholson et al 1979-2,Conventional,NA,18.3,0.536,Asia,NA,NA
29,31,Parren et al 2001,Parren et al 2001-1,RIL,13,1,NA,Africa,1,16
30,32,Parren et al 2001,Parren et al 2001-2,Conventional,13,1,NA,Africa,1,12
31,33,Pinard and Putz 1996,Pinard and Putz 1996-1,Conventional,153.50,NA,0.59,Asia,0.16,NA
32,34,Pinard and Putz 1996,Pinard and Putz 1996-2,RIL,103.75,NA,0.27,Asia,0.16,NA
33,35,Sist and Nguyen 2002,Sist and Nguyen 2002-1,Conventional,56.39,5.70,0.30,Asia,1,NA
34,36,Sist and Nguyen 2002,Sist and Nguyen 2002-2,Conventional,80.79,8.30,0.44,Asia,1,NA
