Study,Site,Age,Method,Basal_area_logged,Prop_BA_logged,Vol_per_ha,Tree_extacted_per_ha,Damaged per tree extracted,Damage_no_ha,Severe_dam_per_tree,Severe_dam_per_ha,BA_damaged,Prop_BA_damaged,Prop_severe_dam,Damage_prop,ID,Allometry,Region,N_Logged,Plot_size,Notes
Abebe and Holm 2003,Abebe and Holm 2003-1,0,Conventional,,,46,,,16,,,,,,0.103896104,1,,Africa,1,1,
White 2009,White 2009-1,0,Conventional,,,,2,,31,,,,,,0.177,2,,Africa,1,,
White 2009,White 2009-2,0,Conventional,,,,2,,,,,,,,0.108,3,,Africa,1,,
Feldpausch et al 2005,Feldpausch et al 2005-1,,RIL,,,6.2,1.1,23.9,61.4,,,,,,0.118304432,4,,Americas,1,,
Guariguata et al 2009,Guariguata et al 2009-1,,Conventional,,,4,0.5,,0.23,,,,,,0.000383333,5,,Americas,1,0.2,Not all trees assessed
Guariguata et al 2009,Guariguata et al 2009-2,,Conventional,,,4.5,0.61,,0.42,,,,,,0.0007,6,,Americas,1,0.2,Not all trees assessed
Guariguata et al 2009,Guariguata et al 2009-3,,Conventional,,,5,0.66,,0.62,,,,,,0.001033333,7,,Americas,1,0.2,Not all trees assessed
Jackson et al 2002,Jackson et al 2002-1,,Conventional,,,12.1,4.35,44,43.6,22,,,,,0.45,8,,Americas,1,,
Johns 1988,Johns 1988-1,0,Conventional,,,,18.3,,,,,,,,0.57,9,,Asia,1,,
Kao and Iidu 2006,Kao and Iidu 2006-1,,Conventional,,,,3,,18.6,,,,,,,10,,Asia,1,,
Medjibe et al 2013,Medjibe et al 2013-1,,RIL,,,5.7,0.39,9.1,3.549,,,,,,0.011674342,11,,Africa,1,1,
Medjibe et al 2013,Medjibe et al 2013-2,,Conventional,,,11.4,0.76,20.9,15.884,,,,,,0.041043928,12,,Africa,1,1,
Miller et al 2011,Miller et al 2011-1,,RIL,,,,3.6,15,,,,,,,,13,,Americas,,,
Parren et al 2001,Parren et al 2001-1,,RIL,,,13,1,20.7,23.6875,,,,,,,14,,Africa,1,1,Lianas cut but not strictly RIL
Parren et al 2001,Parren et al 2001-2,,Conventional,,,13,1,24.5,18.83333333,,,,,,,15,,Africa,1,1,
Sist et al 2007,Sist et al 2007-1,,RIL,,,21,6.3,,,,,,,,0.2,16,,Americas,,,
Bertault and Sist 1997,Bertault and Sist 1997-1,,RIL,,17.5,96.8,10.7,,,,,,,,0.368,17,,Asia,1,1,
Bertault and Sist 1997,Bertault and Sist 1997-2,,RIL,,11.4,56.5,7,,,,,,,,0.305,18,,Asia,1,1,
Bertault and Sist 1997,Bertault and Sist 1997-3,,Conventional,,17.7,107.2,10.1,,,,,,,,0.484,19,,Asia,1,1,
Chapman et al 2000,Chapman et al 2000-1,,Conventional,,,21.3,7.4,,,,,,,,0.5,20,,Africa,1,,
Chapman et al 2000,Chapman et al 2000-2,,Conventional,,,14,5.1,,,,,,,,0.25,21,,Africa,1,,
van de Hout 1999,van de Hout 1999-1,,RIL,1.2,,16,4,,67,,,,,0.056,0.134,22,,Americas,1,2,
van de Hout 1999,van de Hout 1999-2,,RIL,2,,25.86666667,8,,104,,,,,0.064705882,0.203921569,23,,Americas,1,2,
van de Hout 1999,van de Hout 1999-3,,RIL,3.66,,46.93333333,16,,145,,,,,0.127516779,0.324384787,24,,Americas,1,2,
van de Hout 1999,van de Hout 1999-4,,Conventional,4.066666667,,50.06666667,16,,131,,,,,0.068136273,0.26252505,25,,Americas,1,2,
van de Hout 1999,van de Hout 1999-5,,Conventional,1.933333333,,25.06666667,8,,163,,,,,0.096703297,0.358241758,26,,Americas,1,2,
Uhl et al 1991,Uhl et al 1991-1,,Conventional,,,16,2,29,58,,,,,,0.117171717,27,,Americas,1,0.1,
Forshed et al 2006,Forshed et al 2006-1,,Conventional,8.5,,,13,,189.9,,,7,0.2734375,,0.406812339,28,,Asia,1,,
