Study,Site,ID,Method,Vol_per_ha,Tree_extacted_per_ha,Damage_no_ha,Damage_prop,Region,Plot_size,Replicates
Abdulhadi et al 1981,Abdulhadi et al 1981-1,1,Conventional,,11,,0.236,Asia,,
Abebe and Holm 2003,Abebe and Holm 2003-1,2,Conventional,46,,16,0.103896104,Africa,1,
Bertault and Sist 1997,Bertault and Sist 1997-1,3,RIL,96.8,10.7,,0.368,Asia,4,
Bertault and Sist 1997,Bertault and Sist 1997-2,4,RIL,56.5,7,,0.305,Asia,4,
Bertault and Sist 1997,Bertault and Sist 1997-3,5,Conventional,107.2,10.1,,0.484,Asia,4,
Feldpausch et al 2005,Feldpausch et al 2005-1,8,RIL,6.2,1.85,44.215,0.118304432,Americas,,
Forshed et al 2006,Forshed et al 2006-1,9,Conventional,,13,189.9,0.406812339,Asia,,4
Forshed et al 2006,Forshed et al 2006-2,10,RIL,,9.4,159.6,0.325050916,Asia,,4
Forshed et al 2006,Forshed et al 2006-3,11,Conventional,,13,179,0.370677159,Asia,,4
Forshed et al 2006,Forshed et al 2006-4,12,RIL,,9.4,170.4,0.358887953,Asia,,4
Iskander et al 2006,Iskander et al 2006-1,13,Conventional,,1,13.6,,Asia,20,6
Iskander et al 2006,Iskander et al 2006-2,14,Conventional,,4,31.2,,Asia,20,3
Iskander et al 2006,Iskander et al 2006-3,15,Conventional,,3,29.7,,Asia,20,6
Iskander et al 2006,Iskander et al 2006-4,16,Conventional,,4,44.8,,Asia,20,15
Jackson et al 2002,Jackson et al 2002-1,17,RIL,12.1,4.35,191.4,0.45,Americas,,
Johns 1988,Johns 1988-1,18,Conventional,,18.3,,0.57,Asia,,
Johns et al 1996,Johns et al 1996-1,19,Conventional,30,5.6,194.32,,Americas,16.8,1
Johns et al 1996,Johns et al 1996-3,20,Conventional,30,5.6,194.88,,Americas,16.5,1
Johns et al 1996,Johns et al 1996-3,21,Conventional,37,4.5,229.05,,Americas,25,1
Jonkers 2000,Jonkers 2000-1,22,Conventional,,1.424242424,40.02121212,,Africa,33,1
Jonkers 2000,Jonkers 2000-2,23,Conventional,,1.393939394,26.9030303,0.058849558,Africa,33,1
Kao and Iidu 2006,Kao and Iidu 2006-1,24,Conventional,22.2,3,18.7,0.126,Asia,0.12,80
Medjibe et al 2011,Medjibe et al 2011-1,25,RIL,8.11,0.82,26.6,0.511538462,Africa,1,10
