"","Study","Site_ID","Vol_log2","Tree_ex_ha2","Method","Prop_dam","Prop_dam2","Prop_seve_dam","Region"
"1","Abdulhadi et al 1981","Abdulhadi et al 1981-1",56.3174883353407,11,"Conventional",0.236,0.236,NA,NA
"2","Abebe and Holm 2003","Abebe and Holm 2003-1",46,86.1159412550464,"Conventional",0.103896104,0.103896104,NA,"Africa"
"3","Bertault and Sist 1997","Bertault and Sist 1997-1",96.8,10.7,"RIL",0.368,0.368,NA,"Asia"
"4","Bertault and Sist 1997","Bertault and Sist 1997-2",56.5,7,"RIL",0.305,0.305,NA,"Asia"
"5","Bertault and Sist 1997","Bertault and Sist 1997-3",107.2,10.1,"Conventional",0.484,0.484,NA,"Asia"
"6","Chapman et al 2000","Chapman et al 2000-1",21.3,7.4,"Conventional",0.5,0.5,NA,"Africa"
"7","Chapman et al 2000","Chapman et al 2000-2",14,5.1,"Conventional",0.25,0.25,NA,"Africa"
"8","Feldpausch et al 2005","Feldpausch et al 2005-1",6.2,1.1,"RIL",0.118304432,0.118304432,NA,"Americas"
"9","Forshed et al 2006","Forshed et al 2006-1",66.4030339167689,13,"Conventional",0.406812339,0.406812339,NA,NA
"10","Forshed et al 2006","Forshed et al 2006-2",49.3636838251061,9.4,"RIL",0.325050916,0.325050916,NA,NA
"11","Forshed et al 2006","Forshed et al 2006-3",66.4030339167689,13,"Conventional",0.370677159,0.370677159,NA,NA
"12","Forshed et al 2006","Forshed et al 2006-4",49.3636838251061,9.4,"RIL",0.358887953,0.358887953,NA,NA
"16","Iskander et al 2006","Iskander et al 2006-1",24.7126918671947,1,"Conventional",NA,NA,NA,NA
"17","Iskander et al 2006","Iskander et al 2006-2",31.6400398085127,4,"Conventional",NA,NA,NA,NA
"18","Iskander et al 2006","Iskander et al 2006-3",29.138332776148,3,"Conventional",NA,NA,NA,NA
"19","Iskander et al 2006","Iskander et al 2006-4",31.6400398085127,4,"Conventional",NA,NA,NA,NA
"20","Jackson et al 2002","Jackson et al 2002-1",12.1,4.35,"Conventional",0.45,0.45,NA,"Americas"
"21","Johns 1988","Johns 1988-1",102.749858152808,18.3,"Conventional",0.57,0.57,NA,NA
"22","Johns et al 1996","Johns et al 1996-1",30,5.6,"Conventional",NA,0.327876630988136,NA,"Americas"
