"","Site","Study.x","Age","Method","Trees_logged","Vol","MU","VU","SSU","ML","VL","SSL","VarT","ID","Allometry","Region","N_Logged","Plot_size","Vol2","Trees2","Region.x","SDU","SDL","N_Logged2","yi","vi"
"4","Berry et al 2010a","Berry et al 2010",0,"Conventional",NA,97.2,276,29,10,128.4,39.9,10,"SE",4,"Allometric - no height","Asia & Oceania",1,0.1,97.2,20.153040452593,"Asia/Africa",91.706052144883,91.706052144883,"1",-0.765250474461289,0.0620514705921472
"6","Bryan et al 2010a","Bryan et al 2010",1,"RIL",NA,10.7,192.96,4.44,3,157.03,4.89,3,"SE",7,"Allometric - height","Asia & Oceania",1,NA,10.7,1.82692606042021,"Asia/Africa",7.69030558560582,7.69030558560582,"1",-0.206046043641958,0.00132892506262939
"7","Bryan et al 2010b","Bryan et al 2010",1,"RIL",NA,10.7,252.41,7,3,171.97,4.51,3,"SE",6,"Allometric - height","Asia & Oceania",1,NA,10.7,1.82692606042021,"Asia/Africa",12.1243556529821,12.1243556529821,"1",-0.383734706537459,0.00242597890812239
"11","d'Oliveira et al 2012a","d'Oliveira et al 2012",1,"Conventional",NA,6.9,198.9,8.5,10,185.1,9,10,"SE",26,"Allometric - no height","Americas",1,1,6.9,1.86658156468505,"Americas",26.8793601114312,26.8793601114312,"1",-0.0719059662804748,0.00393503348098966
"12","Gerwing et al 2002a","Gerwing et al 2002",5,"Conventional",5.7,35.3,258,30,3,198,18,3,"SD",12,"Allometric - no height","Americas",1,0.5,35.3,5.7,"Americas",30,30,"1",-0.264692554227082,0.0121592210682136
"13","Gerwing et al 2002b","Gerwing et al 2002",5,"Conventional",10,69,258,30,3,148,10,3,"SD",13,"Allometric - no height","Americas",1,0.5,69,10,"Americas",30,30,"1",-0.555747311157502,0.018203069249654
"14","Gourlet-Fleury et al 2013","Gourlet-Fleury et al 2013",0,"Conventional",5.5,66,386.4253333,68.07363939,12,284.7743333,36.79663974,12,"SD",14,"Allometric - no height","Africa",1,4,66,5.5,"Asia/Africa",68.07363939,68.07363939,"1",-0.305241608923129,0.00734794345291903
"15","Imai et al 2013a","Imai et al 2013",8,"RIL",2.36,13.74,499,60,4,341,52,4,"SE",30,"Allometric - no height","Asia & Oceania",1,NA,13.74,2.36,"Asia/Africa",120,120,"1",-0.380723618468002,0.045417259334486
"25","Mazzei et al 2010","Mazzei et al 2010",0,"RIL",8.4,21,409.8,64.9,17,315.3647059,44.90907399,17,"SD",19,"Allometric - no height","Americas",1,1,21,8.4,"Americas",64.9,64.9,"1",-0.261939470200716,0.00396658781341212
"26","Medjibe et al 2011","Medjibe et al 2011",0,"RIL",0.82,8.11,420.4,92.95,10,386.22,109.0794186,10,"SD",20,"Allometric - no height","Africa",1,1,8.11,0.82,"Asia/Africa",92.95,92.95,"1",-0.0847994837102164,0.0106804842674873
"31","Pfeifer et al 2013a","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,127.1630665,75.41151032,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",328.677753,328.677753,"2",-1.49153979869429,0.455127841509482
