"","AICc","model","delta","sigma","R_squared","rel_lik","weight","vars"
"5",15.6122798478819,"Model4",0,0.00261768992947633,0.934337220045739,2551,0.388,"Vol*Method"
"3",16.9529226588303,"Model2",1.34064281094848,0.0183949366211542,0.538576871910472,1304.95,0.199,"Vol"
"10",17.6883877554496,"Model9",2.07610790756773,0.00243392288647062,0.938946877886362,903.42,0.138,"Vol*Method+Vol^2"
"6",18.5812881503991,"Model5",2.9690083025172,0.00190806361412324,0.952137661599222,578.09,0.088,"Vol+*Age+Vol*Method"
"9",18.8670965438841,"Model8",3.25481669600221,0.0155831135072993,0.609109336552795,501.11,0.076,"Vol*Age"
"7",19.5686948631103,"Model6",3.95641501522843,0.0180383509267308,0.547521555436241,352.85,0.054,"Vol*Vol^2"
"11",20.3881933760027,"Model10",4.77591352812085,0.00175246180913331,0.956040815661316,234.22,0.036,"Vol*Region"
"8",21.4113550714684,"Model7",5.79907522358651,0.0024796375314443,0.937800160454403,140.43,0.021,"Vol*Method=Vol^2*Method"
"1",31.3007574435453,"Null",15.6884775956635,0.03986565800747,0,1,0,"Null model"
"2",31.725612387174,"Model1",16.1133325392921,0.0572081903858526,-0.435024360444093,0.81,0,"Age"
"4",32.8689945747387,"Model3",17.2567147268569,0.0317938506460619,0.20247520710421,0.46,0,"Method"
