"estimate","ci.lb","ci.ub","add","Method","rep"
-0.559156587949669,-0.732742944921605,-0.385570230977733,0,"Conventional",110
-0.276048043514855,-0.583440192174777,0.0313441051450676,0,"RIL",110
-0.557952668829847,-0.72739793249411,-0.388507405165584,1,"Conventional",110
-0.276944401470609,-0.549174008049359,-0.004714794891859,1,"RIL",110
-0.556828114449506,-0.722496679138823,-0.391159549760189,2,"Conventional",110
-0.281003682197173,-0.526441870757969,-0.0355654936363767,2,"RIL",110
-0.555942526162144,-0.718696639558881,-0.393188412765408,3,"Conventional",110
-0.261877048341705,-0.486574388101357,-0.0371797085820531,3,"RIL",110
-0.554908478827214,-0.714323797340852,-0.395493160313577,4,"Conventional",110
-0.254511247814997,-0.460873961848902,-0.0481485337810923,4,"RIL",110
-0.554628960987392,-0.713153346102267,-0.396104575872517,5,"Conventional",110
-0.282928746540214,-0.477292051495005,-0.0885654415854242,5,"RIL",110
-0.55399318516227,-0.710509092614372,-0.397477277710168,6,"Conventional",110
-0.299192532080875,-0.48207257645859,-0.116312487703159,6,"RIL",110
-0.553362303022273,-0.707909506431314,-0.398815099613232,7,"Conventional",110
-0.307028960118343,-0.481334455004585,-0.132723465232101,7,"RIL",110
-0.552492508121868,-0.704364351170114,-0.400620665073621,8,"Conventional",110
-0.312337530651895,-0.476085789720286,-0.148589271583504,8,"RIL",110
-0.551690579591461,-0.701134892988645,-0.402246266194277,9,"Conventional",110
-0.306944128655975,-0.461745332198391,-0.152142925113558,9,"RIL",110
-0.551524250445821,-0.700469684101788,-0.402578816789853,10,"Conventional",110
-0.289025128412367,-0.438160443659716,-0.139889813165017,10,"RIL",110
-0.550779129917362,-0.697508882518574,-0.404049377316149,11,"Conventional",110
-0.286569960524016,-0.428621473534107,-0.144518447513925,11,"RIL",110
-0.549984971560723,-0.694387299606324,-0.405582643515123,12,"Conventional",110
-0.287419945626985,-0.42246563940576,-0.152374251848211,12,"RIL",110
-0.549312949153831,-0.691772798031362,-0.4068531002763,13,"Conventional",110
-0.282709254726647,-0.411876392332662,-0.153542117120632,13,"RIL",110
-0.548785818547487,-0.689739074380619,-0.407832562714354,14,"Conventional",110
-0.288150016135866,-0.412734306669933,-0.163565725601798,14,"RIL",110
-0.548149343937473,-0.687303248869409,-0.408995439005537,15,"Conventional",110
-0.28276079398258,-0.402158868870011,-0.163362719095148,15,"RIL",110
-0.547844140079478,-0.686142771748491,-0.409545508410464,16,"Conventional",110
-0.272258119656438,-0.387740789120807,-0.156775450192069,16,"RIL",110
-0.54718211046581,-0.683642420745276,-0.410721800186344,17,"Conventional",110
-0.273881180970924,-0.38482414587875,-0.162938216063099,17,"RIL",110
-0.546569006295153,-0.681347088968807,-0.411790923621498,18,"Conventional",110
-0.274635268008363,-0.381617310473275,-0.167653225543452,18,"RIL",110
-0.54598671324372,-0.679184980343648,-0.412788446143791,19,"Conventional",110
-0.277929843434061,-0.381113672976334,-0.174746013891788,19,"RIL",110
-0.545440786723019,-0.677173575407571,-0.413707998038467,20,"Conventional",110
-0.28045389387926,-0.380294902633373,-0.180612885125147,20,"RIL",110
-0.544894714809068,-0.67517669334028,-0.414612736277856,21,"Conventional",110
-0.282268165991998,-0.378932675536884,-0.185603656447111,21,"RIL",110
-0.544397100050377,-0.673370024882251,-0.415424175218502,22,"Conventional",110
-0.279597703835588,-0.373416083912717,-0.185779323758459,22,"RIL",110
-0.544144096004996,-0.672456191064075,-0.415832000945916,23,"Conventional",110
-0.286487317390355,-0.37796848284197,-0.19500615193874,23,"RIL",110
-0.544298498336261,-0.673013503670797,-0.415583493001726,24,"Conventional",110
-0.276477877594109,-0.366639929207245,-0.186315825980972,24,"RIL",110
-0.543957592936416,-0.671784586730248,-0.416130599142584,25,"Conventional",110
-0.279035265617655,-0.367345397142484,-0.190725134092826,25,"RIL",110
-0.543623382370104,-0.670585396684207,-0.416661368056,26,"Conventional",110
-0.283998660501014,-0.370099170337374,-0.197898150664653,26,"RIL",110
-0.543909471778591,-0.671611583056705,-0.416207360500477,27,"Conventional",110
-0.293783797962561,-0.379105530849247,-0.208462065075874,27,"RIL",110
-0.543473121640178,-0.67004803531406,-0.416898207966296,28,"Conventional",110
-0.296420117182116,-0.379527399609269,-0.213312834754964,28,"RIL",110
-0.543099256920043,-0.668715859861253,-0.417482653978832,29,"Conventional",110
-0.293676099480741,-0.374905235319345,-0.212446963642136,29,"RIL",110
-0.542915491310769,-0.668063557985153,-0.417767424636384,30,"Conventional",110
-0.299364256767423,-0.378980816121749,-0.219747697413098,30,"RIL",110
-0.542438949620731,-0.666379750818511,-0.418498148422952,31,"Conventional",110
-0.299139059847224,-0.376691805907196,-0.221586313787253,31,"RIL",110
-0.542465020558694,-0.666471583580422,-0.418458457536966,32,"Conventional",110
